"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12203","User registration test @master @sanity @regression","chromium","2026-03-03","passed","2026-03-03","","AccountRegistration.spec.ts","",""
"","7123","User login test @master @sanity @regression","chromium","2026-03-03","passed","2026-03-03","","Login.spec.ts","",""
